"","x"
"1384",758.4246
"1385",748.5108
"1386",735.8745
"1387",723.2418
"1388",708.36
"1389",692.5304
"1390",674.4158
"1391",650.6853
"1392",634.1975
"1393",605.3427
"1394",591.6934
"1395",570.5208
"1396",545.6901
"1397",519.5117
"1398",492.5037
"1399",467.542
"1400",442.1297
"1401",410.6574
"1402",383.6185
"1403",349.297
"1404",322.6886
"1405",286.5826
"1406",261.1409
"1407",229.6138
"1408",200.6901
"1409",171.9938
"1410",145.2087
"1411",123.0821
"1412",97.0331
"1413",71.2651
"1414",44.3374
"1415",11.9667
"1416",5.5846
"1417",0.8017
"1418",0
"1419",0
"1420",0
"1421",0
"1422",0
"1423",0
"1424",0
"1425",0
"1426",0
"1427",0
"1428",0
"1429",0
"1430",0
"1431",0
"1432",0
"1433",0
"1434",0
"1435",0
"1436",0
"1437",0
"1438",0
"1439",0
"1440",0
"1441",0
"1442",0
"1443",0
"1444",0
"1445",0
"1446",0
"1447",0
"1448",0
"1449",0
"1450",0
"1451",0
"1452",0
"1453",0
"1454",0
"1455",0
"1456",0
"1457",0
"1458",0
"1459",0
"1460",0
"1461",0
"1462",0
"1463",0
"1464",0
"1465",0
"1466",0
"1467",0
"1468",0
"1469",0
"1470",0
"1471",0
"1472",0
"1473",0
"1474",0
"1475",0
"1476",0
"1477",0
"1478",0
"1479",0
"1480",0
"1481",0
"1482",0.9566
"1483",6.2667
"1484",14.2533
"1485",36.333
"1486",53.8877
"1487",33.0002
"1488",20.0264
"1489",20.0164
"1490",23.2908
"1491",21.6314
"1492",32.5998
"1493",31.6549
"1494",34.5979
"1495",50.3224
"1496",56.6424
"1497",48.5819
"1498",67.6787
"1499",118.5201
"1500",105.0904
"1501",99.1134
"1502",96.4534
"1503",79.7524
"1504",73.871
"1505",91.7997
"1506",127.3156
"1507",144.7195
"1508",128.2852
"1509",110.2825
"1510",102.4814
"1511",110.5073
"1512",165.7802
"1513",222.4208
"1514",201.2747
"1515",191.9572
"1516",201.9763
"1517",226.0314
"1518",201.6883
"1519",141.3228
"1520",128.3657
"1521",121.3808
"1522",132.7292
"1523",146.056
"1524",153.6761
"1525",144.1889
"1526",120.7443
"1527",122.3807
