"","x"
"1800",2841.228
"1801",2862.78
"1802",5282.847
"1803",5652.063
"1804",5525.817
"1805",5248.344
"1806",5283.489
"1807",5162.511
"1808",5151.204
"1809",5079.708
"1810",5079.219
"1811",5079.198
"1812",5095.512
"1813",5002.896
"1814",4962.825
"1815",4917.588
"1816",4714.398
"1817",4835.427
"1818",4607.349
"1819",4891.131
"1820",4325.979
"1821",3749.559
"1822",2960.37
"1823",3362.229
"1824",3248.874
"1825",2491.59
"1826",2850.477
"1827",931.686
"1828",824.424
"1829",2340.786
"1830",2242.962
"1831",2763.273
"1832",2282.76
"1833",1258.455
"1834",750.912
"1835",779.292
"1836",776.436
"1837",558.3
"1838",587.514
"1839",583.263
"1840",467.466
"1841",382.182
"1842",375.513
"1843",356.445
"1844",369.495
"1845",346.173
"1846",360.216
"1847",388.377
"1848",317.583
"1849",302.739
"1850",316.653
"1851",56.31
"1852",0
"1853",0
"1854",0
"1855",0
"1856",0
"1857",0
"1858",0
"1859",0
"1860",0
"1861",0
"1862",0
"1863",0
"1864",0
"1865",0
"1866",0
"1867",0
"1868",0
"1869",0
"1870",0
"1871",0
"1872",0
"1873",0
"1874",0
"1875",0
"1876",0
"1877",0
"1878",0
"1879",0
"1880",0
"1881",0
"1882",0
"1883",0
"1884",0
"1885",0
"1886",0
"1887",0
"1888",0
"1889",0
"1890",0
"1891",0
"1892",0
"1893",0
"1894",0
"1895",0
"1896",0
"1897",0
"1898",0
"1899",0
"1900",0
"1901",0
"1902",0
"1903",0
"1904",0
"1905",0
"1906",0
"1907",0
"1908",0
"1909",0
"1910",0
"1911",0
"1912",0
"1913",0
"1914",0
"1915",63.504
"1916",303.666
"1917",341.91
"1918",391.866
"1919",334.596
"1920",334.545
"1921",340.842
"1922",375.183
"1923",353.565
"1924",376.227
"1925",492.153
"1926",434.757
"1927",441.597
"1928",426.762
"1929",363.141
"1930",604.236
"1931",718.365
"1932",704.73
"1933",1176.573
"1934",1512.714
"1935",1785.369
"1936",2223.678
"1937",2612.058
"1938",1668.819
"1939",1435.761
"1940",1578.93
"1941",1229.682
"1942",1207.023
"1943",1235.295
"1944",1193.283
"1945",1625.583
"1946",2763.759
"1947",2700.111
"1948",3609.321
"1949",6629.991
"1950",4307.883
"1951",2282.775
"1952",1281.144
"1953",525.96
"1954",504.984
"1955",604.449
"1956",618.792
"1957",567.96
"1958",724.722
"1959",1102.545
"1960",1460.025
"1961",1790.616
"1962",2228.532
"1963",2281.377
"1964",3288.606
"1965",3817.05
"1966",1720.434
"1967",1871.271
"1968",2304.063
"1969",2337.894
"1970",1357.815
"1971",1408.749
"1972",1414.866
"1973",1133.319
"1974",1264.572
"1975",1385.835
"1976",1276.596
"1977",1098.024
"1978",996.723
"1979",760.623
"1980",1001.835
"1981",772.2
"1982",423.621
"1983",380.931
"1984",416.193
"1985",408.708
"1986",380.256
"1987",381.807
"1988",354.816
"1989",362.004
"1990",347.688
"1991",276.537
"1992",276.324
"1993",317.238
"1994",170.523
"1995",0
"1996",0
"1997",0
"1998",0
"1999",0
"2000",0
"2001",0
"2002",0
"2003",0
